date,rate
2023-05-15,6.953
2023-05-16,6.9656
2023-05-17,6.9962
2023-05-18,7.027
2023-05-19,7.0102
2023-05-22,7.0289
2023-05-23,7.0544
2023-05-24,7.0473
2023-05-25,7.0695
2023-05-26,7.0574
2023-05-29,7.0761
2023-05-30,7.0728
2023-05-31,7.1072
2023-06-01,7.111
2023-06-02,7.0673
2023-06-05,7.1152
2023-06-06,7.1179
2023-06-07,7.1135
2023-06-08,7.1287
2023-06-09,7.1279
2023-06-12,7.1424
2023-06-13,7.1497
2023-06-14,7.1573
2023-06-15,7.1625
2023-06-16,7.122
2023-06-19,7.1582
2023-06-20,7.1766
2023-06-21,7.1884
2023-06-22,7.1794
2023-06-23,7.1794
2023-06-26,7.2332
2023-06-27,7.2118
2023-06-28,7.2465
2023-06-29,7.2353
2023-06-30,7.2688
2023-07-03,7.249
2023-07-04,7.2185
2023-07-05,7.2431
2023-07-06,7.2319
2023-07-07,7.2348
2023-07-10,7.2372
2023-07-11,7.202
2023-07-12,7.1923
2023-07-13,7.1631
2023-07-14,7.1363
2023-07-17,7.1645
2023-07-18,7.1741
2023-07-19,7.2192
2023-07-20,7.1662
2023-07-21,7.1797
2023-07-24,7.1872
2023-07-25,7.141
2023-07-26,7.1534
2023-07-27,7.147
2023-07-28,7.157
2023-07-31,7.1494
2023-08-01,7.1668
2023-08-02,7.1761
2023-08-03,7.1713
2023-08-04,7.1863
2023-08-07,7.1901
2023-08-08,7.214
2023-08-09,7.2055
2023-08-10,7.2088
2023-08-11,7.2323
2023-08-14,7.2604
2023-08-15,7.2858
2023-08-16,7.2973
2023-08-17,7.2832
2023-08-18,7.2878
2023-08-21,7.2842
2023-08-22,7.2919
2023-08-23,7.2925
2023-08-24,7.2817
2023-08-25,7.2893
2023-08-28,7.2929
2023-08-29,7.2943
2023-08-30,7.2889
2023-08-31,7.2871
2023-09-01,7.2555
2023-09-04,7.2704
2023-09-05,7.3041
2023-09-06,7.3035
2023-09-07,7.3285
2023-09-08,7.3398
2023-09-11,7.2949
2023-09-12,7.2916
2023-09-13,7.2807
2023-09-14,7.278
2023-09-15,7.2773
2023-09-18,7.2959
2023-09-19,7.2912
2023-09-20,7.2939
2023-09-21,7.3056
2023-09-22,7.304
2023-09-25,7.3101
2023-09-26,7.3095
2023-09-27,7.3112
2023-09-28,7.3049
2023-09-29,7.3015
2023-10-02,7.3015
2023-10-03,7.3015
2023-10-04,7.3015
2023-10-05,7.3015
2023-10-06,7.3049
2023-10-09,7.2912
2023-10-10,7.299
2023-10-11,7.3022
2023-10-12,7.2996
2023-10-13,7.3073
2023-10-16,7.3124
2023-10-17,7.3127
2023-10-18,7.3145
2023-10-19,7.3151
2023-10-20,7.3165
2023-10-23,7.3161
2023-10-24,7.31
2023-10-25,7.3167
2023-10-26,7.319
2023-10-27,7.3184
2023-10-30,7.3168
2023-10-31,7.3158
2023-11-01,7.319
2023-11-02,7.3172
2023-11-03,7.3064
2023-11-06,7.2706
2023-11-07,7.2842
2023-11-08,7.2813
2023-11-09,7.2852
2023-11-10,7.2895
2023-11-13,7.2909
2023-11-14,7.2894
2023-11-15,7.2416
2023-11-16,7.25
2023-11-17,7.2125
2023-11-20,7.1722
2023-11-21,7.1363
2023-11-22,7.1501
2023-11-23,7.1424
2023-11-24,7.1537
2023-11-27,7.1529
2023-11-28,7.1534
2023-11-29,7.1275
2023-11-30,7.1364
2023-12-01,7.1434
2023-12-04,7.1384
2023-12-05,7.1433
2023-12-06,7.1579
2023-12-07,7.1542
2023-12-08,7.1615
2023-12-11,7.1773
2023-12-12,7.1684
2023-12-13,7.1777
2023-12-14,7.1312
2023-12-15,7.1087
2023-12-18,7.1344
2023-12-19,7.1366
2023-12-20,7.1382
2023-12-21,7.1407
2023-12-22,7.1342
2023-12-27,7.1474
2023-12-28,7.1028
2023-12-29,7.1049
2024-01-02,7.1435
2024-01-03,7.1487
2024-01-04,7.1515
2024-01-05,7.1541
2024-01-08,7.1622
2024-01-09,7.1646
2024-01-10,7.1694
2024-01-11,7.1584
2024-01-12,7.1697
2024-01-15,7.1749
2024-01-16,7.1896
2024-01-17,7.1952
2024-01-18,7.1937
2024-01-19,7.1912
2024-01-22,7.1946
2024-01-23,7.1701
2024-01-24,7.1523
